time,province,mask,disinfectant,hand_sanitizer,thermometer,vitamin,cases_pdf
2020/1/1,Inner Mongolia,1,3,1,0,0,0
2020/1/1,Hainan,3,1,0,1,9,0
2020/1/1,Guangxi,39,17,8,14,51,0
2020/1/1,Shaanxi,14,13,33,14,54,0
2020/1/1,Fujian,20,1,6,12,35,0
2020/1/1,Beijing,6,1,10,0,23,0
2020/1/1,Sichuan,46,14,35,4,22,0
2020/1/1,Tianjin,7,4,6,0,5,0
2020/1/1,Hunan,45,12,7,8,45,0
2020/1/1,Henan,96,17,20,14,53,0
2020/1/1,Jilin,2,1,5,1,23,0
2020/1/1,Jiangxi,18,4,4,3,31,0
2020/1/1,Shandong,55,21,41,12,109,0
2020/1/1,Zhejiang,77,17,15,24,118,0
2020/1/1,Liaoning,5,0,0,0,14,0
2020/1/1,Xinjiang,0,0,1,0,0,0
2020/1/1,Tibet,0,0,0,0,0,0
2020/1/1,Guangdong,153,83,72,51,216,0
2020/1/1,Anhui,60,3,13,0,70,0
2020/1/1,Shanghai,43,11,19,3,29,0
2020/1/1,Guizhou,2,4,4,3,14,0
2020/1/1,Qinghai,0,1,0,1,2,0
2020/1/1,Hebei,35,3,10,23,30,0
2020/1/1,Gansu,5,0,0,6,1,0
2020/1/1,Yunnan,3,3,1,16,10,0
2020/1/1,Ningxia,0,0,0,2,0,0
2020/1/1,Heilongjiang,2,0,9,2,7,0
2020/1/1,Shanxi,12,11,13,0,35,0
2020/1/1,Jiangsu,97,19,44,25,113,0
2020/1/2,Inner Mongolia,0,0,1,2,0,0
2020/1/2,Hainan,3,8,4,6,8,0
2020/1/2,Guangxi,37,13,4,24,95,0
2020/1/2,Shaanxi,84,24,34,25,62,0
2020/1/2,Fujian,40,5,12,6,29,0
2020/1/2,Beijing,28,5,13,7,10,0
2020/1/2,Sichuan,40,13,19,18,30,0
2020/1/2,Tianjin,1,2,5,0,18,0
2020/1/2,Hunan,43,14,9,22,59,0
2020/1/2,Henan,26,2,31,10,55,0
2020/1/2,Jilin,0,1,20,1,19,0
2020/1/2,Jiangxi,11,4,5,10,49,0
